Material,Attribute,Object,Name,apple,bottle,bowl,brick,cabinet,ceiling,cement,ceramic,chair,clock,coffee,cup,curtain,desk,dishcloth,door,drawer,extractor,fabric,faucet,floor,flower,food,fruit,glass,handle,jar,kettle,laminate,leather,metal,microwave,mug,outlet,oven,paper,plant,plaster,plastic,plate,pot,refrigerator,rug,shelf,sink,stone,stove,table,trash,tray,wall,water,wax,wheat,window,wine,wood,worktop,other
589,576,275,cabinet,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,14,,,,,,,,,,,,,,,,,,,,,467,,40
381,378,196,wall,,,,110,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,34,,,,,21,,,,,,54,,44
210,208,104,worktop,,,,,,,,26,,,,,,,,,,,,,,,,,7,,,,8,,5,,,,,,,,,,,,,,,106,,,,,,,,,,,37,8,13
191,189,77,floor,,,,,,,,67,,,,,,,,,,,6,,10,,,,,,,,13,,,,,,,,,,,,,,,,,34,,,,,,,,,,,46,,15
171,161,73,window,,,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,14,,38,,5
171,170,99,ceiling lamp,,,,,,13,,,,,,,,,,,,,6,,,,,,93,,,,,,20,,,,,,,,20,,,,,,,,,,,,,,,,,,,,19
162,158,68,stove,,,,,,,,4,,,,,,,,,,,,,,,,,6,,,,,,124,,,,,,,,,,,,,,,,16,,,,,,,,,,,,12
140,137,59,sink,,,,,,,,9,,,,,,,,,,,,,,,,,4,,,,,,105,,,,,,,,,,,,,,8,4,,,,,,,,,,,,,10
119,119,78,cabinets,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,3,,5,,,,,4,,,,,,,,,,,,,,,,,,,,,90,,6
111,108,48,plate,,,,,,,,33,,,,,,,,,,,5,,,,,,7,,,,,,6,,,,,3,3,,34,17,,,,,,,,,,,,,,,,,,,3
104,102,59,ceiling,,,,32,,6,8,17,,,,,,,,,,,3,,,,,,,,,,,,,,,,,4,,3,,,,,,,,4,,,,,,,,,,,20,,7
95,92,41,chair,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,3,,9,,,,,,,,9,,,,,,,,,,,,,,,,,,53,,13
90,85,35,microwave,,,,,,,,10,,,,,,,,,,,5,,,,,,7,,,,,,49,9,,,,,,,7,,,,,,,,,,,,,,,,,,,,3
86,82,40,oven,,,,,,,,,,,,,,,,,,,8,,,,,,6,,,,,,56,,,,5,,,,,,,,,,,,,,,,,,,,,,,,11
81,80,30,refrigerator,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,50,,,,,,,,,,,10,,,,,,,,,,,,,,,3,,10
74,74,50,faucet,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,58,,,,,,,,3,,,,,,,,,,,,,,,,,,4,,6
71,71,52,plant,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,40,,17,,,,,,,,,,,,,,,,,,,,11
63,57,39,drawer,,,,,,,,,,,,,,,,,3,,5,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,46,,4
62,62,26,flowers,,,,,,,,,,,,,,,,,,,3,,,6,,,,,,,,,,,,,,,31,,15,,,,,,,,,,,,,,,,,,,,7
62,58,50,pot,,,,,,,,24,,,,,,,,,,,,,,,,,7,,,,,,5,,,,,,,,3,,9,,,,,,,,,,,,,,,,,,14
59,58,44,bowl,,,7,,,,,11,,,,,,,,,,,,,,,,,22,,,,,,4,,,,,,,,8,,,,,,,,,,,,,,,,,,,,7
58,57,17,table,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,39,,7
57,57,23,extractor hood,,,,,,,,,,,,,,,,,,5,3,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,9,,6
51,48,38,outlet,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,3,,,3,,,,,30,,,,,,,,,,,,,,,,,,4,,5
50,46,26,door,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,9
50,49,18,curtain,,,,,,,,,,,,,9,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
45,44,34,glass,,,,,,,,5,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1
43,43,17,wine glass,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,8,,,1
43,41,25,mug,,,,,,,,12,,,,,,,,,,,,,,,,,5,,,,,,4,,5,,,,,,17,,,,,,,,,,,,,,,,,,,,
43,43,14,chair occluded,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,4,,,,,,,,,,,,,,,,,,25,,1
41,40,18,apple,5,,,,,,,,,,,,,,,,,,,,,,29,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
41,40,16,kettle,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
40,39,41,jar,,,,,,,,4,,,,,,,,,,,,,,,,,23,,5,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,3
37,37,33,bottle,,4,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,5
37,37,27,cabinet occluded,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,6
36,36,24,basket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,11
35,34,31,vase,,,,,,,,19,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,7
35,35,19,painting,,,,,,,,,,,,,,,,,,,3,,,,,,5,,,,9,,,,,,,8,,,,,,,,,,,,,,,,,,,,,6,,4
34,32,21,dishwasher,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
30,30,16,teapot,,,,,,,,4,,,,,,,,,,,,,,,,,5,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
30,23,14,handle,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,20,,,,,,,,3,,,,,,,,,,,,,,,,,,,,3
29,28,10,table crop,,,,,,,,,,,,,,,,,,,5,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,3
28,27,12,coffee maker,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,14,,,,,,,,6,,,,,,,,,,,,,,,,,,,,4
28,28,18,kitchen island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,17,,5
28,28,11,drawers,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,2
28,27,17,dishcloth,,,,,,,,,,,,,,,4,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
25,25,20,tray,,,,,,,,4,,,,,,,,,,,,,,,,,3,,,,,,3,,,,,,,,7,,,,,,,,,,,3,,,,,,,,,5
25,25,11,cabinet crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,6
24,24,14,candle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,12,,,,3,,6
22,21,19,cup,,,,,,,,6,,,,4,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,6
22,21,11,rug,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,5
22,19,13,shelf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,4,,,,,,,,,,,,,7,,7
21,21,19,switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,4
20,19,8,frying pan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
20,20,15,plant pot,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,8
17,17,7,books,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,
17,17,5,chair crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,10,,4
16,16,9,bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,1
16,16,19,plates,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,8
16,16,7,stool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,9,,3
16,15,5,carpet,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
15,15,4,wine bottle,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
15,14,12,picture,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,7
15,15,6,orange,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
15,15,9,napkin,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
14,14,5,desk lamp,,,,,,,,,,,,,,3,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
14,14,6,fruit,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,5
13,13,2,trash can,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,3,,,,,,,,,,
13,13,6,clock,,,,,,,,,,3,,,,,,,,,,,,,,,5,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
13,13,7,bowls,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
13,13,3,door occluded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,6
13,13,5,soap bottle,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,3
12,11,8,glasses,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
12,12,7,chandelier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
12,12,10,bread,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,5
12,4,10,knob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1
12,12,4,switches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,3
11,10,4,shelves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,6,,1
11,11,7,grapes,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
11,11,6,saucepan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
